1,Private flight,,-,N/A,,Y
2,135 Airways,,,GNL,GENERAL,N
3,1Time Airline,,1T,RNX,NEXTIME,Y
4,2 Sqn No 1 Elementary Flying Training School,,,WYT,,N
5,213 Flight Unit,,,TFU,,N
6,223 Flight Unit State Airline,,,CHD,CHKALOVSK-AVIA,N
7,224th Flight Unit,,,TTF,CARGO UNIT,N
8,247 Jet Ltd,,,TWF,CLOUD RUNNER,N
9,3D Aviation,,,SEC,SECUREX,N
10,40-Mile Air,,Q5,MLA,MILE-AIR,Y
11,4D Air,,,QRT,QUARTET,N
12,611897 Alberta Limited,,,THD,DONUT,N
13,Ansett Australia,,AN,AAA,ANSETT,Y
14,Abacus International,,1B,,,Y
15,Abelag Aviation,,W9,AAB,ABG,N
16,Army Air Corps,,,AAC,ARMYAIR,N
17,Aero Aviation Centre Ltd.,,,AAD,SUNRISE,N
18,Aero Servicios Ejecutivos Internacionales,,,SII,ASEISA,N
19,Aero Biniza,,,BZS,BINIZA,N
20,Aero Albatros,,,ABM,ALBATROS ESPANA,N
21,Aigle Azur,,ZI,AAF,AIGLE AZUR,Y
22,Aloha Airlines,,AQ,AAH,ALOHA,Y
23,Alaska Island Air,,,AAK,ALASKA ISLAND,N
24,American Airlines,,AA,AAL,AMERICAN,Y
25,Aviation Management Corporation,,,AAM,AM CORP,N
26,Atlantis Airlines (USA),,,AAO,ATLANTIS AIR,N
27,Aerovista Airlines,,,AAP,AEROVISTA GROUP,N
28,Asiana Airlines,,OZ,AAR,ASIANA,Y
29,Askari Aviation,,4K,AAS,AL-AAS,Y
30,Australia Asia Airlines,,,AAU,AUSTASIA,N
31,Astro Air International,,,AAV,ASTRO-PHIL,N
32,Afriqiyah Airways,,8U,AAW,AFRIQIYAH,Y
33,Afrinat International Airlines,,Q9,AFU,,N
34,Afric'air Express,,,AAX,AFREX,N
35,Allegiant Air,,G4,AAY,ALLEGIANT,Y
36,Angus Aviation,,,AAZ,ANGUS,N
37,Artem-Avia,,,ABA,ARTEM-AVIA,N
38,African Business and Transportations,,,ABB,AFRICAN BUSINESS-,N
39,Aban Air,,K5,ABE,ABAN,N
40,Aerial Oy,,,ABF,SKYWINGS,N
41,Abakan-Avia,,,ABG,ABAKAN-AVIA,N
42,ABSA - Aerolinhas Brasileiras,,M3,TUS,ABSA Cargo,Y
43,Abaet,,,ABJ,Abaet,N
44,Alberta Citylink,,,ABK,ALBERTA CITYLINK,N
45,APSA Colombia,,,ABO,AEROEXPRESO,N
46,Aerovias Bueno,,,ABU,AEROBUENO,N
47,Aerocenter,,,ACR, Escuela de Formacion de Pioltos Privados de Avion,N
48,Antrak Air,,4,ABV,ANTRAK,N
49,Airborne Express,,GB,ABX,ABEX,N
50,ABX Air,,GB,ABX,ABEX,N
51,ATA Brasil,,,ABZ,ATA-BRAZIL,N
52,Avcard Services,,,ACC,,N
53,Academy Airlines,,,ACD,ACADEMY,N
54,Aero Comondu,,,ACO,AERO COMONDU,N
55,Astral Aviation,,8V,ACP,ASTRAL CARGO,Y
56,Air Cess,,,ACS,,N
57,Air Aurora,,,AAI,BOREALIS,N
58,Air Cargo Transportation System,,,ACU,AFRISPIRIT,N
59,Air Charter Service,,,ACV,,N
60,Aero Asia International,,E4,RSO,AERO ASIA,N
61,Air Charters,,,ACX,PARAIR,N
62,Air Togo,,YT,TGA,AIR TOGO,N
63,Air Somalia,,,RSM,AIR SOMALIA,N
64,Atlas Cargo Lines,,,ACY,ATLAS CARGOLINES,N
65,Airservices Australia,,,ADA,AUSCAL,N
66,Advance Leasing Company,,4G,,,N
67,Aztec Worldwide Airlines,,7A,,,N
68,Air Tindi,,8T,,,Y
69,Antonov Airlines,,,ADB,ANTONOV BUREAU,N
70,Air Atlantic Dominicana,,,ADC,ATLAN-DOMINICAN,N
71,Advanced Air Co.,,,ADD,,N
72,Ada Air,,ZY,ADE,ADA AIR,Y
73,Aerea Flying Training Organization,,,ADG,AEREA TRAINING,N
74,Audeli Air,,,ADI,AUDELI,N
75,Abicar,,,ADJ,ABICAR,N
76,ADC Airlines,,Z7,ADK,ADCO,N
77,Aero Dynamics,,,ADL,COTSWOLD,N
78,Aerolineas Dominicanas,,,ADM,DOMINAIR,N
79,Aerodienst GmbH,,,ADN,AERODIENST,N
80,Aerodiplomatic,,,ADP,AERODIPLOMATIC,N
81,Aerodyne,,,ADY,AERODYNE,N
82,Avion Taxi,,,ADQ,AIR DATA,N
83,Adria Airways,,JP,ADR,ADRIA,Y
84,Aviones de Sonora,,,ADS,SONORAV,N
85,Air Dorval,,,ADT,AIR DORVAL,N
86,Airdeal Oy,,,ADU,AIRDEAL,N
87,Advance Air Charters,,,ADV,ADVANCE,N
88,Air Andaman,,,ADW,AIR ANDAMAN,N
89,Anderson Aviation,,,ADX,ANDAX,N
90,Air Europa,,UX,AEA,EUROPA,Y
